MSCOCO;Visual Genome;Specificity Score
473665;713666;0.643284940756
201607;713707;0.646233912565
55942;1592890;0.647345796837
559974;1591994;0.648340564953
300284;713371;0.648759845006
443579;1159575;0.650686448449
247319;285684;0.650698967686
464537;1159463;0.652806686741
533889;1592656;0.653988519807
536514;713796;0.655137534038
567396;61513;0.656119035585
234217;498281;0.65671349314
294186;713780;0.657097200372
238928;498175;0.657223446524
542231;1591805;0.6575639874
575949;1159675;0.658375272919
164423;1592857;0.658834565302
548136;713003;0.658834723921
241076;713742;0.659236326449
435327;1592807;0.661369786107
215569;1159392;0.661628282166
487288;498039;0.663035462226
269462;1593047;0.664348681442
45337;498396;0.666309225953
303236;1593063;0.666827926536
312344;1592017;0.668690946387
272026;107955;0.675837414526
406199;285994;0.681556756717
301554;1159819;0.68361303165
530433;713681;0.692119038486
182758;1159541;0.695944263407
59024;713770;0.699716739591
198735;107964;0.700899136188
305224;1159870;0.702022920207
413164;1159749;0.708413803831
264396;1592499;0.710470396331
195998;1593241;0.711725747409
425418;285932;0.723811585726
104817;1159379;0.736667878095
58351;285610;0.739198209732
383250;713330;0.742791451101
79645;1592251;0.745376431351
230727;1160158;0.749053319371
183972;1592189;0.75618076721
210672;1592033;0.784045405057
321711;1592289;0.814145615088
352019;1159427;0.825805727693
